row,col,value
3188,166,54.4126015
3188,167,54.7675018
3188,168,54.6948013
3188,1162,0
3189,166,54.590786
3189,167,54.7452507
3189,168,54.7702484
3189,169,55.1447487
3190,167,54.8226242
3190,168,54.9691429
3190,169,55.1955719
3190,170,55.4293327
3191,168,55.016201
3191,169,55.0779381
3191,170,55.3062363
3191,171,55.4790001
3191,172,56.3615723
3192,169,55.0609818
3192,170,55.296917
3192,171,55.5555
3192,172,56.342144
3192,173,57.244751
3193,169,54.9720001
3193,170,54.9379997
3193,171,55.9889984
3193,172,56.8803329
3193,173,57.6895714
3193,174,57.8046913
3193,2678,0
3194,170,56.2260017
3194,171,57.0115013
3194,172,57.8435707
3194,173,57.8694992
3194,174,57.8254013
3194,175,57.9908028
3195,171,57.7120018
3195,172,57.8105927
3195,173,57.9416771
3195,174,58.225666
3195,175,58.2858315
3195,176,58.5161667
3195,177,58.706501
3195,1504,60.0219994
3196,171,57.8884277
3196,172,57.8989983
3196,173,57.9176331
3196,174,58.2369995
3196,175,58.3515701
3196,176,58.6575546
3196,177,59.0615005
3196,178,59.4428902
3197,172,57.6441841
3197,173,57.8160019
3197,174,58.3402481
3197,175,58.4208336
3197,176,58.6786156
3197,177,59.0028763
3197,178,59.214859
3197,179,59.4781418
3197,180,59.8515015
3198,173,57.9360008
3198,174,58.2683983
3198,175,58.4347496
3198,176,58.6889
3198,177,58.9872513
3198,178,59.3250008
3198,179,59.5322876
3198,180,59.6305008
3198,181,61.0800018
3199,174,58.1898003
3199,175,58.4351425
3199,176,58.7204437
3199,177,59.1887131
3199,178,59.3656235
3199,179,59.5728416
3199,180,59.6232719
3199,181,59.7205009
3199,182,62.4080009
3199,1503,61.0880013
3200,175,58.6028557
3200,176,59.0342865
3200,177,59.4290009
3200,178,59.2809372
3200,179,59.656723
3200,180,59.7253189
3200,181,59.9360008
3200,182,62.0047607
3200,183,63.1730003
3200,184,63.581665
3201,175,58.9674644
3201,176,59.0713348
3201,177,59.3312683
3201,178,59.3144875
3201,179,59.5124016
3201,180,59.862999
3201,181,60.0223351
3201,182,60.8230019
3201,183,63.1867485
3201,184,63.9129982
3201,185,64.1949997
3202,176,59.1149979
3202,177,59.2265015
3202,178,59.3056259
3202,179,59.7771416
3202,180,60.146286
3202,181,60.3199997
3202,182,60.987999
3202,183,63.5555
3202,184,64.0699997
3202,185,64.2839966
3202,186,65.3909988
3203,177,59.6339989
3203,178,60.0597
3203,179,60.7080002
3203,180,62.0726013
3203,181,63.1839981
3203,182,63.579998
3203,183,64.1299973
3203,184,65.1545029
3203,185,65.8759995
3203,186,66.4219971
3203,187,66.3160019
3203,188,66.0568924
3204,178,61.9812851
3204,179,62.8608322
3204,180,63.5131989
3204,181,64.2496643
3204,182,65.1299973
3204,183,66.072998
3204,184,66.5790024
3204,185,66.6470032
3204,186,66.5749969
3204,187,66.6865005
3204,188,66.5719986
3204,189,66.6269989
3205,179,64.4698029
3205,180,65.3162003
3205,181,66.3040009
3205,182,66.3410034
3205,183,66.6374969
3205,184,66.6039963
3205,185,66.5534973
3205,186,66.5350037
3205,187,66.9499969
3205,188,67.1691666
3205,189,67.149498
3205,190,67.3846664
3206,179,66.3655014
3206,180,66.6608353
3206,181,66.4153366
3206,182,66.5630035
3206,183,66.6050034
3206,184,66.6689987
3206,185,66.6299973
3206,186,66.9532471
3206,187,67.3809967
3206,188,67.6849976
3206,189,67.7935028
3206,190,67.8290024
3206,191,68.2740021
3206,192,68.5569992
3207,180,66.5934982
3207,181,66.4189987
3207,182,66.4540024
3207,183,66.6389999
3207,184,66.9489975
3207,185,67.2089996
3207,186,67.4185028
3207,187,67.7736664
3207,188,68.2610016
3207,189,68.4250031
3207,190,68.6082535
3207,191,68.6740036
3207,192,69.3190002
3207,193,69.4583359
3207,1146,0
3208,181,66.6539993
3208,182,66.5354996
3208,183,66.6193314
3208,184,67.3580017
3208,185,67.6413345
3208,186,67.8830032
3208,187,68.1875992
3208,188,68.5920029
3208,189,69.0077515
3208,190,69.1366653
3208,191,69.2133331
3208,192,69.8399963
3208,193,70.137001
3208,194,70.4410019
3209,182,66.7583313
3209,183,67.3365021
3209,184,67.6856842
3209,185,68.0595016
